PTS%,CF%,S%,SV%,Playoffs?,PP%
0.732,53.4,10.4,0.92,1,17.82
0.732,59.1,10.2,0.907,1,22.71
0.714,53.8,9.8,0.915,1,25.61
0.705,53.7,9.6,0.91,1,20.53
0.688,50.6,11.4,0.9,1,24.84
0.688,51,10.6,0.905,1,20
0.688,50.5,11.5,0.908,1,23.68
0.67,52.4,10.6,0.908,1,22.22
0.67,46.2,11.4,0.907,1,17.58
0.652,54.2,8.8,0.912,1,21.88
0.643,48.9,10.9,0.91,1,27.59
0.634,48.6,9.4,0.921,1,18.75
0.571,49.8,9,0.912,1,17.61
0.563,47.7,10.3,0.9,1,23.23
0.563,48.1,10.2,0.911,1,22.98
0.536,52.7,9.2,0.903,0,23.57
0.536,47.1,11,0.907,0,20.67
0.527,54.4,9,0.896,1,19.21
0.518,52,9.5,0.88,0,19.16
0.491,45.9,9.7,0.903,0,21.71
0.491,53,9.2,0.899,0,18.29
0.482,48.5,9.8,0.898,0,20.79
0.455,48.7,9.3,0.895,0,15.52
0.446,46,9.1,0.9,0,17.42
0.438,48.1,8.9,0.903,0,18.93
0.438,47.9,8.7,0.891,0,14.1
0.429,45.3,8.2,0.906,0,11.41
0.429,46.5,8.2,0.899,0,15.38
0.402,50.4,9,0.891,0,14.19
0.384,48.8,8.3,0.897,0,8.94
0.33,46.7,8.4,0.896,0,20.98
0.714,50.8,10.1,0.921,1,25.22
0.662,50.9,10.2,0.91,1,24.26
0.657,52.2,11.2,0.91,1,23.22
0.657,51.7,10.5,0.913,1,19.09
0.652,51.6,10.7,0.898,1,19.44
0.645,51.1,10.5,0.903,1,20.8
0.606,54.8,9.1,0.9,1,21.99
0.623,51,10,0.904,0,19.91
0.585,47.9,10.6,0.905,0,29.5
0.594,49.5,8.4,0.92,1,21.11
0.579,49.2,7.9,0.913,1,16.4
0.579,51.9,10.3,0.901,0,23.08
0.596,54.3,9.6,0.903,1,22.33
0.563,48.6,9.6,0.913,0,20.49
0.588,46.5,9.4,0.911,1,17.26
0.564,50.3,9.2,0.906,1,21.24
0.564,46.8,10.7,0.908,0,22.91
0.565,48.3,10.4,0.907,1,24.15
0.565,49.6,10.1,0.899,0,21.33
0.565,50.9,9.3,0.901,0,17.26
0.558,49.6,10.5,0.897,0,21.3
0.529,48.3,8.6,0.919,1,19.16
0.514,48.6,9.3,0.913,1,15.21
0.5,54.5,8.6,0.9,1,17.74
0.493,46.2,8.7,0.901,0,17.95
0.493,49.1,9.5,0.9,0,18.88
0.472,48.3,8.6,0.901,0,14.67
0.457,53,7.6,0.899,0,17.1
0.45,50.5,8.6,0.895,0,17.46
0.437,48.2,8.7,0.9,0,14.22
0.275,45.8,7.4,0.886,0,14.88
0.78,51.6,12.2,0.916,1,28.24
0.652,53.1,9.6,0.912,1,25.9
0.652,53.9,10.9,0.903,1,19.27
0.634,49,11,0.904,1,20.76
0.628,47.8,9.4,0.925,1,14.54
0.616,54.9,10.7,0.889,1,23.65
0.61,51.7,10.5,0.908,1,21.8
0.61,49.7,9.9,0.913,1,24.56
0.61,52.2,8.8,0.914,1,12.94
0.604,48.9,10.6,0.911,1,24.8
0.604,54.8,8.6,0.906,1,17.81
0.604,51.5,9.4,0.906,1,21.1
0.598,50.2,9.9,0.904,1,15.38
0.585,54.1,8.8,0.907,0,13.25
0.567,54.3,8.7,0.905,1,16.81
0.567,48.3,8.3,0.923,1,21.03
0.549,49.9,9.6,0.907,1,22.03
0.524,48.9,8.3,0.913,0,16.28
0.524,49.4,9.8,0.891,0,26.77
0.512,49.3,10,0.898,0,20.17
0.506,50.9,8.2,0.904,0,20.33
0.5,48.4,9.3,0.895,0,17.09
0.494,47.9,9,0.905,0,17.13
0.488,47.6,8.6,0.909,0,16.98
0.482,48,9.6,0.896,0,21.17
0.476,46.1,9.2,0.904,0,19.38
0.463,50,8.2,0.901,0,19.49
0.451,47.1,9.4,0.901,0,18.06
0.439,46.9,8.8,0.895,0,17.72
0.433,48.1,8.4,0.9,0,15.84
0.39,45,10,0.897,0,20.35
0.713,51.5,9.9,0.923,1,21.17
0.695,51.5,10.3,0.917,1,23.36
0.689,51.6,10.8,0.913,1,23.91
0.683,53.7,9.9,0.912,1,23.64
0.665,50.9,10,0.911,1,21.37
0.64,48,10.8,0.909,1,22.54
0.64,49.8,10.2,0.917,1,25
0.616,47.2,10.1,0.911,1,20.42
0.616,48.6,9.3,0.923,1,17.76
0.61,50.9,9.1,0.909,1,20.62
0.61,52.3,9.6,0.903,1,26.15
0.598,50,9.3,0.92,1,20.42
0.598,49.7,9.5,0.904,1,20.69
0.591,51.5,8.5,0.912,1,17.18
0.591,48.6,9.3,0.908,1,21.43
0.585,49.2,8.7,0.914,0,18.88
0.579,47.6,10.5,0.914,1,21.96
0.573,51.7,8.3,0.909,0,15.45
0.561,51,9,0.909,0,19.26
0.512,53.5,7.8,0.905,0,15.99
0.506,54.5,8.1,0.893,0,18.41
0.488,47.5,10.1,0.9,0,23.2
0.476,50.6,8.4,0.901,0,14.76
0.47,45.9,9,0.909,0,21.16
0.463,52.4,8.2,0.906,0,15.99
0.445,47.7,8.8,0.902,0,21.46
0.445,48.8,8.5,0.903,0,17.52
0.433,50.5,7.7,0.903,0,21.31
0.427,48.1,8.4,0.905,0,16.87
0.409,47.2,8.7,0.895,0,16.53
0.378,47.6,7.7,0.896,0,19.07
0.72,51.8,10.5,0.922,1,22.98
0.677,50.1,10.1,0.914,1,23.08
0.665,50.4,9.6,0.918,1,18.03
0.659,50.3,9.7,0.922,1,19.91
0.646,49.4,10.4,0.916,1,20.98
0.64,49.7,9.1,0.919,1,18.73
0.628,52.5,9.1,0.918,1,19.57
0.628,50,9.5,0.914,1,22.86
0.622,48,10.4,0.912,1,20.26
0.604,50.2,10,0.907,1,21.28
0.604,51.1,8.9,0.912,1,16.67
0.598,48.6,8.4,0.915,1,16.93
0.579,50.4,9.6,0.912,1,23.36
0.579,54.7,8.5,0.905,1,21.72
0.573,50.5,9.3,0.907,1,20.16
0.573,51.3,9.4,0.91,0,22.79
0.573,51.4,9.3,0.911,1,18.92
0.573,47.8,9.6,0.909,0,14.96
0.537,51.1,8.2,0.901,0,19.49
0.53,49.3,10,0.9,0,18.18
0.53,51.3,8.5,0.901,0,17.75
0.524,55,7.8,0.905,0,19.09
