PTS%,CF%,S%,SV%,Playoffs?,PP%
0.744,56.6,11,0.904,1,24.43
0.726,53,10.7,0.912,1,24.01
0.707,56.3,9.9,0.913,1,21.98
0.701,53.4,11,0.9,1,27.27
0.689,51.3,11.4,0.903,1,20.54
0.677,55.7,10,0.913,1,22.88
0.671,50.9,11.2,0.907,1,23.94
0.671,47.1,10.5,0.919,1,25.23
0.665,47.2,12.4,0.908,1,26.97
0.652,54.5,8.5,0.907,1,21.19
0.634,52.5,10.2,0.905,1,25.96
0.628,52.1,9.4,0.914,1,20.16
0.61,50.6,10.5,0.898,1,18.75
0.604,54.1,8.2,0.901,1,16.13
0.598,48.9,9.4,0.904,1,22.41
0.591,49.5,10.7,0.906,1,24.42
0.573,52.6,9.3,0.901,0,18.4
0.561,49.6,9.4,0.912,0,23.48
0.543,49.4,9.5,0.907,0,21.05
0.512,46,9.7,0.913,0,22.12
0.494,47.9,10.5,0.897,0,18.64
0.47,45.5,8.8,0.9,0,18.98
0.463,47.6,9.5,0.902,0,21.92
0.457,48.5,9.3,0.894,0,21.17
0.451,46,9.4,0.888,0,16.3
0.445,47.9,9.1,0.904,0,19.34
0.415,46,9,0.893,0,19.18
0.384,50.4,9.6,0.881,0,15.56
0.372,46.6,8.3,0.894,0,12.55
0.366,50.7,8.9,0.88,0,14.55
0.348,43.9,9.7,0.894,0,13.86
0.335,47,8.9,0.888,0,13.71
