Rk,Season,Lg,GP,G,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
1,2022,NHL,445,3.19,0.75,3.30,22.69,77.31,31.3,28.3,.904,2.99
2,2021,NHL,1312,3.14,0.60,2.89,20.61,79.39,31.4,28.5,.907,2.92
3,2020,NHL,868,2.94,0.57,2.89,19.78,80.22,29.8,27.1,.908,2.74
4,2019,NHL,1082,3.02,0.60,2.97,20.03,79.97,31.3,28.4,.910,2.82
5,2018,NHL,1271,3.01,0.58,2.92,19.78,80.22,31.3,28.5,.910,2.81
6,2017,NHL,1271,2.97,0.61,3.04,20.18,79.82,31.8,29.0,.912,2.78
7,2016,NHL,1230,2.77,0.57,2.99,19.10,80.90,30.1,27.5,.913,2.59
8,2015,NHL,1230,2.71,0.58,3.11,18.66,81.34,29.6,27.1,.915,2.51
9,2014,NHL,1230,2.73,0.57,3.06,18.66,81.34,29.8,27.3,.915,2.52
10,2013,NHL,1230,2.74,0.59,3.27,17.89,82.11,30.0,27.4,.914,2.56
11,2012,NHL,720,2.72,0.61,3.32,18.22,81.78,29.0,26.5,.912,2.54
12,2011,NHL,1230,2.73,0.57,3.31,17.31,82.69,29.7,27.1,.914,2.54
13,2010,NHL,1230,2.79,0.64,3.54,18.02,81.98,30.3,27.7,.913,2.61
14,2009,NHL,1230,2.84,0.68,3.71,18.23,81.77,30.2,27.5,.911,2.66
15,2008,NHL,1230,2.91,0.79,4.16,18.95,81.05,30.1,27.4,.908,2.73
16,2007,NHL,1230,2.78,0.76,4.28,17.75,82.25,29.0,26.3,.909,2.61
17,2006,NHL,1230,2.95,0.85,4.85,17.58,82.42,29.5,26.7,.905,2.77
18,2005,NHL,1230,3.08,1.03,5.85,17.68,82.32,29.9,27.0,.901,2.92
19,2003,NHL,1230,2.57,0.70,4.24,16.46,83.54,28.0,25.5,.911,2.46
20,2002,NHL,1230,2.65,0.73,4.42,16.43,83.57,28.3,25.7,.909,2.54
21,2001,NHL,1230,2.62,0.65,4.13,15.77,84.23,27.5,25.0,.908,2.51
22,2000,NHL,1230,2.76,0.76,4.59,16.64,83.36,27.6,25.0,.903,2.65
23,1999,NHL,1148,2.75,0.65,4.03,16.15,83.85,27.9,25.2,.904,2.64
24,1998,NHL,1107,2.63,0.69,4.38,15.81,84.19,27.8,25.2,.908,2.56
25,1997,NHL,1066,2.64,0.70,4.64,15.08,84.92,27.3,24.7,.906,2.53
26,1996,NHL,1066,2.92,0.67,4.10,16.27,83.73,29.7,26.9,.905,2.80
27,1995,NHL,1066,3.14,0.90,5.04,17.93,82.07,30.2,27.1,.898,3.04
28,1994,NHL,624,2.99,0.77,4.36,17.73,82.27,29.3,26.4,.901,2.89
29,1993,NHL,1092,3.24,0.90,4.85,18.64,81.36,30.2,27.1,.895,3.14
30,1992,NHL,1008,3.63,1.03,5.28,19.57,80.43,30.9,27.4,.885,3.53
31,1991,NHL,880,3.48,0.97,5.02,19.24,80.76,30.4,27.0,.888,3.37
32,1990,NHL,840,3.46,0.89,4.57,19.44,80.56,29.7,26.4,.886,3.35
33,1989,NHL,840,3.68,0.95,4.58,20.77,79.23,30.2,26.6,.881,3.56
34,1988,NHL,840,3.74,1.06,5.04,20.99,79.01,30.3,26.6,.879,3.63
35,1987,NHL,840,3.71,1.11,5.46,20.29,79.71,30.4,26.8,.880,3.62
